Identificação	Pergunta
QE_I27	As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.
QE_I28	Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.
QE_I29:	As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.
QE_I30:	"O curso propiciou experiências de aprendizagem inovadoras."
QE_I31	O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.
QE_I32	No curso você teve oportunidade de aprender a trabalhar em equipe.
QE_I33	O curso possibilitou aumentar sua capacidade de reflexão e argumentação.
QE_I34:	"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade."
QE_I35	O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.
QE_I36	O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.
QE_I37:	"As relações professor-aluno ao longo do curso estimularam você a estudar e aprender."
QE_I38	Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.
QE_I39	As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.
QE_I40	Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.
QE_I41:	"A coordenação do curso esteve disponível para orientação acadêmica dos estudantes."
QE_I42	O curso exigiu de você organização e dedicação frequente aos estudos.
QE_I43:	"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária."
QE_I44:	"Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica."
QE_I45	O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.
QE_I46	A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.
QE_I47:	"O curso favoreceu a articulação do conhecimento teórico com atividades práticas."
QE\_I48:	"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional."
QE_I49:	"O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação."
QE_I50	O estágio supervisionado proporcionou experiências diversificadas para a sua formação.
QE_I51	As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional.
QE_I52	Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.
QE_I53	Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios fora do país.
QE_I54	Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).
QE_I55	As avaliações de aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.
QE_I56	Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.
QE_I57:	"Os professores demonstraram domínio dos conteúdos abordados nas disciplinas."
QE_I58	Os professores utilizaram tecnologias da informação e comunicação (TIC's) como estratégia de ensino (projetor, multimídia, laboratório de informática, ambiente virtual de aprendizagem).
QE_I59	A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.
QE_I60	O curso disponibilizou monitores ou tutores para auxiliar os estudantes.
QE_I61:	"As condições de infraestrutura das salas de aula foram adequadas."
QE_I62:	"Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes."
QE_I63:	"Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso."
QE_I64	A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.
QE_I65	A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.
QE_I66	As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.
QE_I67	A instituição promoveu atividades de cultura, de lazer e de interação social.
QE_I68	A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.
